Condition,Value,Y (kPa),E0 (kPa),Eb (kPa),d0 (nm)
Control,Ctrl_mean,2263.922806536014,15470.17934570349,1909.362667572508,207.37370248122681
Control,Ctrl_std,1648.2820762953536,547.1115151916526,4.404363492938223,3.8160709795252665
Control,Ctrl_significance,0,0,0,0
Colchicine,Colch_mean,3053.621844750041,23078.880772079472,2965.760405128028,144.5176902822884
Colchicine,Colch_std,1270.111969717242,2312.07862784507,6.348017664054204,6.221278924370641
Colchicine,Colch_significance,0,1,1,1
Cytochalasin D,Cytod_mean,2699.6514067289145,14849.049670361312,2040.484442180093,265.22425686722335
Cytochalasin D,Cytod_std,994.4593853969894,617.6722674458041,7.610381578800232,6.274219822048072
Cytochalasin D,Cytod_significance,0,0,1,1
Jasplakinolide,Jaspla_mean,2383.36056644537,8395.91146154531,1842.986347839033,325.07152971525176
Jasplakinolide,Jaspla_std,852.6501010091299,176.96245822675476,4.367548573352261,5.055211499430874
Jasplakinolide,Jaspla_significance,0,1,1,1
